title,tags,game_url,img_url
漫游日常,"['卡牌', '科幻', '卡通']",https://www.gcores.com/games/81345,"https://image.gcores.com/944385bb-80cc-49b8-a914-4d270eafa612.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
Space Rescue,"['单人', '冒险', '动作', '休闲']",https://www.gcores.com/games/81346,"https://image.gcores.com/85caaafe-10a3-48ad-932a-d076424ac174.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
Take Pangolin Somewhere Nice,"['本地多人', '本地合作', '动作', '休闲', '童话', 'Lowpoly', '好评原声音轨']",https://www.gcores.com/games/81363,"https://image.gcores.com/79e9be76-f609-4fbd-9f6c-5abf510c7624.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
【BOOOM】Celewander,"['动作', '平台', '横版', '单人', '像素']",https://www.gcores.com/games/81368,"https://image.gcores.com/cc83285f-8be8-48a9-a18d-79fdba7128f9.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
在路上，就不要着急了,"['解谜', '文字', '现实']",https://www.gcores.com/games/81370,"https://image.gcores.com/2623e358-463a-4059-b8a3-fa8cfb29a3ad.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
《绘梦》,"['幻想', '解谜', '步行模拟', '横版', '卡通', '休闲']",https://www.gcores.com/games/81375,"https://image.gcores.com/04266b3c-b2b5-4394-bed7-864217ca81f0.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
【BOOOM】太空搁浅,"['独立游戏', '视觉小说', '科幻', '末世']",https://www.gcores.com/games/81383,"https://image.gcores.com/9ca5aa47-e7ef-436d-9b52-4f93578e2af8.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
【2022BOOOM】Let's Walking,"['音乐节奏', '卡通', '手绘']",https://www.gcores.com/games/81107,"https://image.gcores.com/188f6b97-530e-4d22-8bd4-c0e95250e8ff.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
主机,"['射击', '单人', '开放世界', '科幻', 'Lowpoly', '幻想']",https://www.gcores.com/games/81223,"https://image.gcores.com/82de4bf0-c821-417a-a7d4-d2a54073ecd3.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
灵魂漫游,"['平台', '横版', '像素', '哲学']",https://www.gcores.com/games/81226,"https://image.gcores.com/29d05325-9347-4834-8a35-314f8474b452.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
Heartbeat Faraway,"['独立游戏', '文字', '音乐节奏', '后启示录', '心理学', '现实']",https://www.gcores.com/games/81228,"https://image.gcores.com/2e73a08f-d5d1-4289-842e-5f9e5814d217.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
推羊记,"['解谜', '单人', '像素']",https://www.gcores.com/games/81325,"https://image.gcores.com/a4cd014c-516e-43b5-92fc-5facaa96a824.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
静！,"['格斗', '第一人称', '单人', '武侠', '幻想', '后启示录']",https://www.gcores.com/games/81356,"https://image.gcores.com/aaf954ee-b26c-4182-bc84-a9267541025e.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
塔拉往事,"['独立游戏', 'Roguelike', '冒险', '单人', '休闲']",https://www.gcores.com/games/81360,"https://image.gcores.com/f444b95b-e47a-42aa-8540-1ef271f207d6.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
热气求途,"['射击', '冒险', '单人', '开放世界', '幻想', '休闲', '西部', '养成']",https://www.gcores.com/games/81364,"https://image.gcores.com/b055a488-5cd3-46e4-9ad6-5eee59e45a9e.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
【BOOOM】BACK TO THE TOP,"['平台', '竞速', '恋爱', '独立游戏', '奇幻', '青春', 'Lowpoly', '爱情']",https://www.gcores.com/games/81367,"https://image.gcores.com/c2d50cb8-c274-4e88-8633-d3271948e775.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
禁止下班,"['塔防', '休闲']",https://www.gcores.com/games/81387,"https://image.gcores.com/b2b684b7-fa5d-40f5-ac8d-b5fff9741630.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
风筝游记,"['竞速', '模拟', '单人', '古代', '休闲']",https://www.gcores.com/games/80846,"https://image.gcores.com/1b75b2fc-4a68-4302-854a-7712e616f266.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
落日,"['平台', '单人', '休闲']",https://www.gcores.com/games/80957,"https://image.gcores.com/dccdddd5-2881-45ad-9a70-8adf2a2b6cc4.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
MEL,"['解谜', '平台', '单人', '像素', '爱情', '科幻']",https://www.gcores.com/games/81216,"https://image.gcores.com/c53fe383-548a-4f3f-9f9a-0e0fb6dc5db2.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
雪糕历险记,"['单人', '横版', '解谜', '像素']",https://www.gcores.com/games/81320,"https://image.gcores.com/7bb51af1-933c-479d-85ef-5f68a4cb4ed6.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
屠龙行动,"['文字', '点触解谜', '奇幻', '幻想']",https://www.gcores.com/games/81322,"https://image.gcores.com/b76e3c5b-1c5b-46cd-9216-4ad788a4ed7a.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
Cato,"['解谜', '像素', '幻想', '休闲']",https://www.gcores.com/games/81350,"https://image.gcores.com/e1969242-8cee-4fde-a2af-b3585535e2a0.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
【BOOOM】“林中漫步”,"['解谜', '童话', '卡通', '手绘']",https://www.gcores.com/games/81354,"https://image.gcores.com/a3a07261-8433-4e22-ab50-c77091c7bab2.gif?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
